BookingReference,Created Date,Reference,Attendee Status,Attended,Event Code
B944099,18/02/2021,A1012049,Attending,,MSE21
B944103,18/02/2021,A1012053,Attending,,MSE21
B944109,18/02/2021,A1012059,Attending,,MSE21
B944138,18/02/2021,A1012088,Attending,,MSE21
B944149,18/02/2021,A1012099,Attending,,MSE21
B944151,18/02/2021,A1012101,Attending,,MSE21
B944154,18/02/2021,A1012104,Attending,,MSE21
B944157,18/02/2021,A1012107,Attending,,MSE21
B944158,18/02/2021,A1012108,Attending,,MSE21
B944173,18/02/2021,A1012123,Attending,,MSE21
B944174,18/02/2021,A1012124,Attending,,MSE21
B944178,18/02/2021,A1012128,Attending,,MSE21
B944191,18/02/2021,A1012141,Attending,,MSE21
B944194,18/02/2021,A1012144,Attending,,MSE21
B944196,18/02/2021,A1012146,Attending,,MSE21
B944199,18/02/2021,A1012149,Attending,,MSE21
B944205,18/02/2021,A1012155,Attending,,MSE21
B944216,18/02/2021,A1012166,Attending,,MSE21
B944220,18/02/2021,A1012170,Attending,,MSE21
B944230,18/02/2021,A1012180,Attending,,MSE21
B944234,18/02/2021,A1012184,Attending,,MSE21
B944237,18/02/2021,A1012187,Attending,,MSE21
B944259,18/02/2021,A1012209,Attending,,MSE21
B944261,18/02/2021,A1012211,Attending,,MSE21
B944268,18/02/2021,A1012218,Attending,,MSE21
B944284,18/02/2021,A1012234,Attending,,MSE21
B944289,18/02/2021,A1012239,Attending,,MSE21
B944297,18/02/2021,A1012247,Attending,,MSE21
B944311,18/02/2021,A1012261,Attending,,MSE21
B944338,18/02/2021,A1012288,Attending,,MSE21
B944344,18/02/2021,A1012294,Attending,,MSE21
B944353,18/02/2021,A1012303,Attending,,MSE21
B944362,18/02/2021,A1012312,Attending,,MSE21
B944397,19/02/2021,A1012347,Attending,,MSE21
B944442,19/02/2021,A1012392,Attending,,MSE21
B944444,19/02/2021,A1012394,Attending,,MSE21
B944448,19/02/2021,A1012398,Attending,,MSE21
B944452,19/02/2021,A1012402,Attending,,MSE21
B944458,19/02/2021,A1012408,Attending,,MSE21
B944459,19/02/2021,A1012409,Attending,,MSE21
B944465,19/02/2021,A1012415,Attending,,MSE21
B944477,19/02/2021,A1012427,Attending,,MSE21
B944481,19/02/2021,A1012431,Attending,,MSE21
B944501,19/02/2021,A1012451,Attending,,MSE21
B944513,19/02/2021,A1012463,Attending,,MSE21
B944513,19/02/2021,A1012464,Attending,,MSE21
B944513,19/02/2021,A1012465,Attending,,MSE21
B944521,19/02/2021,A1012473,Attending,,MSE21
B944521,19/02/2021,A1012474,Attending,,MSE21
B944539,19/02/2021,A1012492,Attending,,MSE21
B944543,19/02/2021,A1012496,Attending,,MSE21
B944544,19/02/2021,A1012497,Attending,,MSE21
B944551,19/02/2021,A1012504,Attending,,MSE21
B944566,19/02/2021,A1012519,Attending,,MSE21
B944567,19/02/2021,A1012520,Attending,,MSE21
B944571,19/02/2021,A1012524,Attending,,MSE21
B944576,19/02/2021,A1012529,Attending,,MSE21
B944578,19/02/2021,A1012531,Attending,,MSE21
B944580,19/02/2021,A1012533,Attending,,MSE21
B944602,19/02/2021,A1012555,Attending,,MSE21
B944618,19/02/2021,A1012571,Attending,,MSE21
B944619,19/02/2021,A1012572,Attending,,MSE21
B944635,19/02/2021,A1012588,Attending,,MSE21
B944641,19/02/2021,A1012594,Attending,,MSE21
B944682,19/02/2021,A1012635,Attending,,MSE21
